City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,burayevo,55.8407,55.4083,-8.29,92,93,4.76,RU,1701560404
167,pacocha,-17.5833,-71.3333,18.65,78,31,3.23,PE,1701560405
168,ilhabela,-23.7781,-45.3581,24.34,92,25,3.29,BR,1701560405
169,iskateley,67.6803,53.1512,-9.99,95,100,5.36,RU,1701560406
170,champerico,14.3,-91.9167,32.3,79,9,2.94,GT,1701560406
171,sur,22.5667,59.5289,24.91,60,0,2.63,OM,1701560406
172,ketchikan,55.3422,-131.6461,5.26,87,100,0.0,US,1701560407
173,knyaze-volkonskoye,48.4642,135.4567,-14.81,95,12,2.04,RU,1701560407
174,margaret river,-33.95,115.0667,18.42,70,72,5.46,AU,1701560400
175,adjumani,3.3779,31.7909,21.88,69,45,1.24,UG,1701560408
176,cowansville,45.2001,-72.7491,2.18,99,100,2.57,CA,1701560283
177,obo,5.3998,26.4869,22.74,84,92,1.39,CF,1701560409
178,eregli,37.5133,34.0467,8.31,60,54,0.95,TR,1701560409
179,punta arenas,-53.15,-70.9167,8.06,57,40,10.29,CL,1701560410
180,zhangjiakou shi xuanhua qu,40.6103,115.0447,-3.19,49,5,0.49,CN,1701560410
181,basco,20.4487,121.9702,25.84,81,79,7.93,PH,1701560411
182,padang,-0.9492,100.3543,24.03,92,86,1.35,ID,1701560411
183,mount gambier,-37.8333,140.7667,19.54,51,10,1.73,AU,1701560412
184,tamale,9.4008,-0.8393,29.08,29,38,2.17,GH,1701560412
185,chengyang,27.0892,119.6453,12.05,90,94,0.67,CN,1701560413
186,kimbe,-5.5502,150.1429,30.03,66,96,1.08,PG,1701560413
187,sandnessjoen,66.0217,12.6316,-18.71,66,78,4.15,NO,1701560413
188,uturoa,-16.7333,-151.4333,27.44,77,92,8.33,PF,1701560414
189,san luis de la loma,17.2706,-100.8939,26.54,74,38,1.03,MX,1701560414
190,mount isa,-20.7333,139.5,32.87,46,64,3.09,AU,1701560415
191,yanam,16.7333,82.2167,25.56,80,99,6.0,IN,1701560415
192,san patricio,28.017,-97.5169,22.97,64,100,3.48,US,1701560416
193,sinabang,2.4803,96.3801,24.76,93,99,2.92,ID,1701560416
194,catriel,-37.8791,-67.7956,17.09,14,0,8.24,AR,1701560416
195,margate,51.3813,1.3862,4.27,72,6,4.21,GB,1701560417
196,mishan,45.55,131.8833,-16.5,99,99,1.54,CN,1701560417
197,tyukhtet,56.5389,89.3011,-5.46,91,98,3.53,RU,1701560418
198,orkney,-26.9802,26.6727,21.85,24,19,2.32,ZA,1701560418
199,karmaskaly,54.3709,56.1837,-4.05,92,99,6.28,RU,1701560419
200,fortaleza,-3.7227,-38.5247,28.93,75,20,3.6,BR,1701560401
201,anina,45.0794,21.8569,0.58,84,100,4.13,RO,1701560419
202,lisala,2.15,21.5167,21.27,98,84,0.97,CD,1701560301
203,amga,60.8953,131.9608,-31.9,100,100,0.78,RU,1701560420
204,fuyuan,46.4333,127.0833,-18.29,98,83,4.41,CN,1701560421
205,ain taya,36.7933,3.2869,12.91,76,75,3.6,DZ,1701560421
206,mahibadhoo,3.7833,72.9667,27.7,78,89,5.11,MV,1701560422
207,withernsea,53.7311,0.0335,1.16,79,96,6.42,GB,1701560422
208,lorengau,-2.0226,147.2712,29.17,70,70,1.51,PG,1701560423
209,laguna,38.421,-121.4238,16.14,78,100,5.14,US,1701560423
210,huetamo de nunez,18.5833,-100.8833,28.47,54,49,0.57,MX,1701560423
211,ayaviri,-14.8864,-70.5889,13.0,48,80,0.49,PE,1701560424
212,dalnegorsk,44.5604,135.5701,-9.67,88,45,2.68,RU,1701560424
213,northam,51.0333,-4.2167,6.48,95,100,4.94,GB,1701560425
214,ribeira grande,38.5167,-28.7,14.32,58,100,4.02,PT,1701560425
215,kailua-kona,19.6406,-155.9956,28.06,82,40,4.63,US,1701560425
216,imbituba,-28.24,-48.6703,23.85,97,79,1.06,BR,1701560426
217,cururupu,-1.8283,-44.8683,25.64,82,20,1.61,BR,1701560426
218,sao luis de montes belos,-16.525,-50.3722,23.53,73,58,1.04,BR,1701560426
219,robertsport,6.7533,-11.3686,26.52,86,78,0.87,LR,1701560427
220,motueka,-41.1333,173.0167,16.72,97,100,2.35,NZ,1701560427
221,chibougamau,49.9168,-74.3659,-13.21,92,0,0.0,CA,1701560275
222,safford,32.834,-109.7076,14.51,38,0,5.14,US,1701560428
223,san angelo,31.4638,-100.437,19.12,29,0,7.72,US,1701560312
224,hermanus,-34.4187,19.2345,15.76,81,92,1.11,ZA,1701560428
225,medina,24.4686,39.6142,25.24,18,0,4.63,SA,1701560429
226,ataq,14.5377,46.8319,15.19,30,29,1.15,YE,1701560429
227,el abiodh sidi cheikh,32.893,0.5484,6.9,80,28,4.75,DZ,1701560429
228,jamaame,0.0697,42.745,24.72,83,97,2.23,SO,1701560430
229,ohara,35.25,140.3833,11.79,67,32,2.71,JP,1701560430
230,port alfred,-33.5906,26.891,17.88,95,89,3.32,ZA,1701560431
231,whitehorse,60.7161,-135.0538,-10.57,92,75,0.0,CA,1701560344
232,huilong,31.8111,121.655,6.58,50,59,0.6,CN,1701560432
